code,streetCode,displayName,lat,lng
bw2970,S0069,"GROSSHADERNERSTR. 02",48.10915,11.45844
bw2974,S0069,"GROSSHADERNERSTR. 04",48.10926,11.45949
bw2980,S0069,"GROSSHADERNERSTR. 06",48.10992,11.45998
bw3200,S0069,"GROSSHADERNERSTR. 09",48.1110066,11.459759
bw9925,S0102,"FRAUNHOFERSTR. 12",48.1104,11.44858
bw2955,S0003,"BUTENANDTSTR. 1-13",48.11363,11.46503
bw0073,S0004,"AMALIENSTR. 52",48.15005,11.57849
bw0090,S0004,"AMALIENSTR. 54",48.15038,11.57868
bw0147,S0004,"AMALIENSTR. 73",48.15073,11.5785
bw0151,S0004,"AMALIENSTR. 83",48.15133,11.57888
bw1020,S0004,"AMALIENSTR. 17",48.14706,11.5761
bw0110,S0006,"AKADEMIESTR. 01",48.15217,11.58137
bw1543,S0009,"BAVARIARING 19",48.13415,11.55363
bw1541,S0010,"BEETHOVENPLATZ 01",48.13345,11.55812
bw2920,S0013,"FEODOR - LYNEN - STR. 25",48.11277,11.46483
bw2921,S0013,"FEODOR - LYNEN - STR. 23",48.11306,11.46608
bw0630,S0016,"GEORGENSTR. 07",48.15428,11.58104
bw0631,S0016,"GEORGENSTR. 11",48.15437,11.58047
bw0000,S0017,"GESCHWISTER - SCHOLL - PLATZ 01",48.15067,11.58054
bw1502,S0018,"GOETHESTR. 29",48.13544,11.55887
bw1503,S0018,"GOETHESTR. 33",48.13487,11.5588
bw1509,S0018,"GOETHESTR. 31",48.13521,11.55911
bw0303,S0026,"KAULBACHSTR. 53",48.15155,11.58367
bw0306,S0026,"KAULBACHSTR. 45",48.15064,11.58406
bw0310,S0026,"KAULBACHSTR. 37",48.14947,11.58355
bw0801,S0027,"KOENIGINSTR. 08",48.1508,11.58514
bw0820,S0027,"KOENIGINSTR. 10B",48.152088,11.585759
bw0822,S0027,"KOENIGINSTR. 12",48.15212,11.58604
bw0824,S0027,"KOENIGINSTR. 14",48.15216,11.58655
bw0826,S0027,"KOENIGINSTR. 16",48.15244,11.58672
bw0828,S0027,"KOENIGINSTR. 18",48.15273,11.58684
bw0650,S0029,"KONRADSTR. 06",48.15586,11.57713
bw0580,S0030,"LEOPOLDSTR. 30",48.1556924,11.5842991
bw0590,S0030,"LEOPOLDSTR. 44",48.15697,11.58506
bw0600,S0030,"LEOPOLDSTR. 03",48.15378,11.58213
bw0601,S0030,"LEOPOLDSTR. 13",48.15575,11.58302
bw0607,S0030,"LEOPOLDSTR. 13A",48.15612,11.58214
bw0608,S0030,"LEOPOLDSTR. 11A ",48.15498,11.58272
bw0610,S0030,"LEOPOLDSTR. 15",48.15655,11.58342
bw0620,S0030,"LEOPOLDSTR. 05",48.15406,11.58225
bw1540,S0031,"LESSINGSTR. 02",48.13352,11.55788
bw1640,S0032,"LINDWURMSTR. 23",48.13141,11.56293
bw0040,S0035,"LUDWIGSTR. 27",48.14947,11.58052
bw0120,S0035,"LUDWIGSTR. 33",48.15209,11.58163
bw0121,S0035,"LUDWIGSTR. 31",48.15186,11.58152
bw0122,S0035,"LUDWIGSTR. 29",48.15163,11.58142
bw0340,S0035,"LUDWIGSTR. 14",48.14644,11.57968
bw0407,S0035,"LUDWIGSTR. 28",48.15165,11.58237
bw1120,S0036,"LUISENSTR. 37",48.14734,11.5648
bw2102,S0038,"MARCHIONINISTR. 27",48.11253,11.46939
bw7055,S0039,"MARIA - THERESIA - STR. 21",48.1430287,11.5986936
bw1130,S0043,"MEISERSTR. 10",48.14456,11.56661
bw7070,S0048,"OETTINGENSTR. 67",48.15043,11.59508
bw1500,S0049,"PETTENKOFERSTR. 12",48.13451,11.55988
bw1507,S0049,"PETTENKOFERSTR. 14",48.13442,11.55933
bw1521,S0049,"PETTENKOFERSTR. 09A",48.13394,11.56215
bw0420,S0051,"PROFESSOR - HUBER - PLATZ 02",48.15083,11.58205
bw1110,S0052,"RICHARD - WAGNER - STR. 10",48.14739,11.56346
bw0104,S0053,"SCHACKSTR. 04",48.15196,11.58376
bw7000,S0054,"SCHEINERSTR. 1",48.14592,11.60763
bw0050,S0055,"SCHELLINGSTR. 04",48.14954,11.5792
bw0060,S0055,"SCHELLINGSTR. 10",48.14961,11.57886
bw0070,S0055,"SCHELLINGSTR. 12",48.14954,11.57861
bw0200,S0055,"SCHELLINGSTR. 03",48.1493,11.57909
bw0250,S0055,"SCHELLINGSTR. 09",48.14955,11.5782
bw0251,S0055,"SCHELLINGSTR. 05",48.14922,11.57952
bw0252,S0055,"SCHELLINGSTR. 07  ",48.14951,11.57848
bw0270,S0055,"SCHELLINGSTR. 33",48.1503518,11.5751781
bw1501,S0056,"SCHILLERSTR. 46",48.13446,11.56061
bw1504,S0056,"SCHILLERSTR. 42",48.13507,11.56068
bw1505,S0056,"SCHILLERSTR. 44",48.13519,11.56008
bw1715,S0060,"THALKIRCHNERSTR. 36 / FRAUENLOBSTR. 7A",48.129971,11.564907
bw1003,S0061,"THERESIENSTR. 37/39/41",48.14799,11.5735
bw0440,S0062,"VETERINAERSTR. 01",48.15048,11.58282
bw0460,S0062,"VETERINAERSTR. 05 ",48.15038,11.58315
bw0800,S0062,"VETERINAERSTR. 13",48.15021,11.5849
bw6000,S0066,"WINZERERSTR. 45",48.16315,11.56226
bw0554,S0073,"MARTIUSSTR. 04",48.15701,11.58564
bw5950,S0078,"ZENTNERSTR. 31",48.15824,11.56423
bw7045,S0082,"LAPLACSTR. 16",48.1463,11.60638
bw0570,S0083,"GISELASTR. 10",48.155,11.58578
bw0575,S0087,"SEESTR. 13",48.15879,11.59032
bw6500,S0089,"EDMUND - RUMPLER - STR. 9-13",48.19447,11.61111
bw0334,S0103,"SCHÖNFELDSTR. 13A",48.14581,11.58212
bw4070,S0064,"SONNENSTR. 16",48.24348,11.55004
bw4925,S0071,"SCHÖNLEUTNERSTR. 08",48.24894,11.55291
bw1531,S0049,"PETTENKOFERSTR. 11",48.134056,11.559951
