code,name,cityCode
S0069,"Großhaderner Straße",MPL
S0102,Fraunhoferstraße,MPL
S0003,Butenandtstraße,MUC
S0004,Amalienstraße,MUC
S0006,Akademiestraße,MUC
S0009,Bavariaring,MUC
S0010,Beethovenplatz,MUC
S0013,Feodor-Lynen-Straße,MUC
S0016,Georgenstraße,MUC
S0017,Geschwister-Scholl-Platz,MUC
S0018,Goethestraße,MUC
S0026,Kaulbachstraße,MUC
S0027,Königinstraße,MUC
S0029,Konradstraße,MUC
S0030,Leopoldstraße,MUC
S0031,Lessingstraße,MUC
S0032,Lindwurmstraße,MUC
S0035,Ludwigstraße,MUC
S0036,Luisenstraße,MUC
S0038,Marchioninistraße,MUC
S0039,Maria-Theresia-Straße,MUC
S0043,Katharina-von-Bora-Straße,MUC
S0048,Oettingenstraße,MUC
S0049,Pettenkoferstraße,MUC
S0051,"Professor-Huber-Platz ",MUC
S0052,Richard-Wagner-Straße,MUC
S0053,Schackstraße,MUC
S0054,Scheinerstraße,MUC
S0055,Schellingstraße,MUC
S0056,Schillerstraße,MUC
S0060,"Thalkirchner Straße",MUC
S0061,Theresienstraße,MUC
S0062,Veterinärstraße,MUC
S0066,Winzererstraße,MUC
S0073,Martiusstraße,MUC
S0078,Zentnerstraße,MUC
S0082,Laplacestraße,MUC
S0083,Giselastraße,MUC
S0087,Seestraße,MUC
S0089,Edmund-Rumpler-Straße,MUC
S0103,Schönfeldstraße,MUC
S0064,Sonnenstraße,OSH
S0071,Schönleutnerstraße,OSH
